Post link,City,Neighborhood,Size,Number of rooms,Floor number,Taxes,Price,Room mates,Furniture,Elevator,Air conditioner,Parking,Balcony,Bars,Shelter,Storeroom,Renovated,Boiler,Pets allowed
dks8vn48,חדרה,גבעת אולגה,127,4,5,980,4700,1,1,1,1,1,1,1,1,1,1,1,1
jmjfaz37,חיפה,"יל""ג",65,3.5,1,,2400,1,1,1,1,0,,1,1,1,1,1,1
iphkc13r,רמות ספיר,"שכונה י""א",70,3,1,400,2450,1,1,1,1,1,,1,1,1,1,1,1
9chmff31,קרית אתא,מרכז העיר,70,3,1,500,2900,1,1,1,1,0,,1,1,1,1,1,1
yp7la93q,מגדל העמק,רמת בלפור,80,3.5,3,512,2095,1,1,1,1,1,,1,1,1,1,1,1
qp4o7e2l,רמות ספיר,"שכונה י""א",72,3,4,550,2500,1,1,1,1,0,,1,1,1,1,1,1
f1z9zwlc,חיפה,רמת אלון,70,3,1,900,3800,1,1,1,1,1,1,1,1,1,1,1,1
ncu9lzkr,כפר סבא,הזמר העברי,106,4,6,,7500,1,1,1,1,1,1,1,1,1,1,1,1
2ovueen2,תל אביב יפו,בבלי,76,3,1,550,8800,1,1,1,1,1,,1,1,1,1,1,1
k0quc70s,רמות ספיר,"שכונה י""א",72,3,2,500,2550,1,1,1,1,1,1,1,1,1,1,1,1
spir3j8u,קרית גת,השופטים,96,4,2,,3400,1,1,1,1,0,,1,1,1,1,1,1
dh8pc431,חיפה,קרית חיים מזרחית,56,2.5,3,300,2300,1,1,1,1,0,,1,1,1,1,1,1
0beznnjp,חיפה,רוממה,110,5,2,1000,4500,1,1,1,1,0,1,1,1,1,1,1,1
0c9q757q,חיפה,"יל""ג",62,2,1,290,1850,1,1,1,1,1,1,1,1,1,1,1,1
j8bw9ao6,רעננה,מרכז דרום,99,4,2,,8000,1,1,1,1,1,1,1,1,1,1,1,1
qb7722yw,רמת בית הכרם,בית הכרם,70,3,4,,5250,1,1,1,1,0,,1,1,1,1,1,1
t0d90mxn,ירושלים,קטמונים,72,3,,,6200,1,1,1,1,0,1,1,1,1,1,1,1
0igbfvp9,פרדס בחסכון,בית בפארק,173,6,2,,6200,1,1,1,1,1,1,1,1,1,1,1,1
8skuamhk,עפולה,מרכז עפולה עלית,50,2,1,,2500,1,1,1,1,0,,1,1,1,1,1,1
drp5rzm0,רחובות,ג' / מרכז מזרח העיר,120,4,1,1200,5400,1,1,1,1,0,2,1,1,1,1,1,1
d31rcx21,קרית אתא,מרכז העיר,67,3.5,3,600,2450,1,1,1,1,0,,1,1,1,1,1,1
